Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,000174933646793551","0,000164652643341423","0,153516023470877",0,0,0,"60,7369667544096","1,05580902720251","0,00137513030414551","0,0019454004887445","2,17399797565162","-0,00173307384721383","2,29270926553166",0,0,0,0,0,0,package://herc_robot_description/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://herc_robot_description/meshes/base_link.STL,,Combinar38-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_st1l,"0,0267659398830066","0,0575560495831713","-7,55299664800813E-06",0,0,0,"0,355351171840791","0,000977148510617321","-2,25153880169421E-05","1,36428651613183E-07","0,000375116458384183","-6,08477675347618E-08","0,00117239052625379",0,0,0,0,0,0,package://herc_robot_description/meshes/link_st1l.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://herc_robot_description/meshes/link_st1l.STL,,Combinar32-4,Origin_joint_st1l,Axis_joint_st1l,joint_st1l,revolute,"0,1975","0,2993","-0,15451","1,5708",0,"-1,5708",base_link,0,1,0,0,0,0,0,,,,,,,,
link_wh1l,"-0,00100917477978646","-2,01893384029206E-05","-7,53597005912487E-05",0,0,0,"2,03045357185604","0,0144258780203256","9,78786475777846E-11","1,6185157049032E-10","0,00879443569990284","6,00219310017969E-12","0,00879443570730398",0,0,0,0,0,0,package://herc_robot_description/meshes/link_wh1l.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://herc_robot_description/meshes/link_wh1l.STL,,Simetría27[27]-2;Saliente-Extruir121-2,Origin_joint_wh1l,Axis_joint_wh1l,joint_wh1l,continuous,0,"0,03",0,"1,0131",0,0,link_st1l,1,0,0,,,,,,,,,,,,
link_st2l,"0,0267659382781991","0,0575560500659763","-7,55294697135644E-06",0,0,0,"0,355351155625479","0,000977148503797893","-2,25153961358251E-05","1,36427972195104E-07","0,000375116435197316","-6,08472980503841E-08","0,00117239049809512",0,0,0,0,0,0,package://herc_robot_description/meshes/link_st2l.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://herc_robot_description/meshes/link_st2l.STL,,Combinar32-3,Origin_joint_st2l,Axis_joint_st2l,joint_st2l,revolute,"-0,1975","0,2993","-0,15451","1,5708",0,"-1,5708",base_link,0,1,0,0,0,0,0,,,,,,,,
link_wh2l,"-0,00100917476980963","-2,01929059113343E-05","-7,53672546446316E-05",0,0,0,"2,0304535750242","0,0144258780242239","1,04096085729217E-10","-1,74758329777071E-10","0,00879443570448185","-5,49449982040207E-12","0,00879443570269662",0,0,0,0,0,0,package://herc_robot_description/meshes/link_wh2l.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://herc_robot_description/meshes/link_wh2l.STL,,Simetría27[27]-4;Saliente-Extruir121-4,Origin_joint_wh2l,Axis_joint_wh2l,joint_wh2l,continuous,0,"0,03",0,"0,5024",0,0,link_st2l,1,0,0,,,,,,,,,,,,
link_st1r,"0,0267659399219559","0,0575560495851625","-7,55298418853023E-06",0,0,0,"0,355351172234343","0,000977148510684013","-2,25153880145334E-05","1,36428487298398E-07","0,000375116458983201","-6,0847697727267E-08","0,00117239052681343",0,0,0,0,0,0,package://herc_robot_description/meshes/link_st1r.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://herc_robot_description/meshes/link_st1r.STL,,Combinar32-5,Origin_joint_st1r,Axis_joint_st1r,joint_st1r,revolute,"0,1975","-0,2993","-0,15451","1,5708",0,"1,5708",base_link,0,1,0,0,0,0,0,,,,,,,,
link_wh1r,"-0,0010091747607146","-2,01889572131186E-05","-7,53600202778038E-05",0,0,0,"2,03045357426424","0,0144258780232549","1,15237064316613E-10","1,55859842261674E-10","0,00879443570150819","9,3189960956308E-12","0,00879443570887671",0,0,0,0,0,0,package://herc_robot_description/meshes/link_wh1r.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://herc_robot_description/meshes/link_wh1r.STL,,Simetría27[27]-1;Saliente-Extruir121-1,Origin_joint_wh1r,Axis_joint_wh1r,joint_wh1r,continuous,0,"0,03",0,"0,98723",0,0,link_st1r,1,0,0,,,,,,,,,,,,
link_st2r,"0,0267659383001422","0,0575560500628036","-7,55294261522987E-06",0,0,0,"0,355351155823766","0,000977148503842048","-2,25153960717195E-05","1,36427913971771E-07","0,000375116435557389","-6,08472665978241E-08","0,00117239049846253",0,0,0,0,0,0,package://herc_robot_description/meshes/link_st2r.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://herc_robot_description/meshes/link_st2r.STL,,Combinar32-2,Origin_joint_st2r,Axis_joint_st2r,joint_st2r,revolute,"-0,1975","-0,2993","-0,15451","1,5708",0,"1,5708",base_link,0,1,0,0,0,0,0,,,,,,,,
link_wh2r,"-0,0010091745975932","-2,01936239987294E-05","-7,53573527121354E-05",0,0,0,"2,03045358492489","0,014425878035554","-9,41220447530324E-11","1,89604194724541E-10","0,00879443572514206","-1,13800312489393E-11","0,00879443572108085",0,0,0,0,0,0,package://herc_robot_description/meshes/link_wh2r.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://herc_robot_description/meshes/link_wh2r.STL,,Simetría27[27]-3;Saliente-Extruir121-3,Origin_joint_wh2r,Axis_joint_wh2r,joint_wh2r,continuous,0,"0,03",0,"2,839",0,0,link_st2r,1,0,0,,,,,,,,,,,,
